source,title,link,summary,published
BBC News,Analysis: Biden’s pardon for son shows presidents now act differently,https://www.bbc.com/news/articles/c4gplr65prno,Joe Biden may be criticised for protecting his son but is likely to pay little political price.,"Mon, 02 Dec 2024 03:23:57 GMT"
BBC News,BBC faces pressure to pause MasterChef over Wallace claims,https://www.bbc.com/news/articles/cvgx5ngze3xo,Rupa Huq said the continued broadcast of the series could be triggering for the women involved.,"Mon, 02 Dec 2024 10:23:30 GMT"
BBC News,Jeremy Bowen: Syria's rebel offensive is astonishing - but don't write off Assad,https://www.bbc.com/news/articles/cvgpdpgz4kdo,The country's president has already shown he is prepared to go to brutal lengths to save his regime.,"Sun, 01 Dec 2024 21:16:05 GMT"
BBC News,‘Italian’ purees in UK supermarkets likely to contain Chinese forced-labour tomatoes,https://www.bbc.com/news/articles/crezlw4y152o,"Some products described as “Italian” appear to contain Chinese tomatoes, BBC investigation suggests.","Sun, 01 Dec 2024 22:01:42 GMT"
BBC News,Georgia's PM hits back as protests and resignations intensify,https://www.bbc.com/news/articles/cp878819l8wo,"After days of demonstrations and public resignations, Georgia's prime minister rejects a call for new elections.","Mon, 02 Dec 2024 09:27:11 GMT"
BBC News,Elton John says sight loss means he can't see Devil Wears Prada musical,https://www.bbc.com/news/articles/ce8edye1j53o,The star-studded event attracted a host of famous faces as the production celebrated its West End debut at London's Dominion Theatre.,"Mon, 02 Dec 2024 06:28:02 GMT"
BBC News,House prices surprise with fastest rise for two years,https://www.bbc.com/news/articles/c0mvn4g3r3ko,"The price of a typical UK home rose by 3.7%, says Nationwide, despite ""stretched"" affordability.","Mon, 02 Dec 2024 08:44:34 GMT"
BBC News,She fled Israeli bombing four times. It still found her,https://www.bbc.com/news/articles/ce8984g9gdgo,"Rihab Faour's long journey to safety, from her small village in southern Lebanon, ended in the death of her young family.","Sun, 01 Dec 2024 22:01:06 GMT"
BBC News,Typhoo Tea rescued by vape maker,https://www.bbc.com/news/articles/cre7dxdpj04o,The new owner said Typhoo's production will be moved abroad.,"Mon, 02 Dec 2024 09:40:59 GMT"
BBC News,Stories of horror and hunger in Sudan massacre town told to BBC,https://www.bbc.com/news/articles/cpdnllz54q0o,"Massacres scar the Sudanese town of el-Geneina, now a near-empty city as the 19-month war grinds on.","Mon, 02 Dec 2024 05:57:58 GMT"
BBC News,"10 years on, is shared parental leave failing working families?",https://www.bbc.com/news/articles/ckg7k24j8ywo,"The government is reviewing the policy but campaigners say the current system is ""broken"".","Mon, 02 Dec 2024 03:33:48 GMT"
BBC News,"I've been treated like dung, says oldest Post Office victim",https://www.bbc.com/news/articles/cdd01jr6122o,91-year-old Betty Brown says she's been offered less than a third of what she had claimed in compensation.,"Mon, 02 Dec 2024 10:17:05 GMT"
BBC News,Should you pay more for parking if you have a big car?,https://www.bbc.com/news/articles/cx28wr7lge1o,Some councils are considering charging owners of larger vehicles more for parking permits.,"Mon, 02 Dec 2024 01:15:18 GMT"
BBC News,Cyber Monday: Tips to spot a deal and not get ripped off,https://www.bbc.com/news/articles/cvg70jr949po,Experts tell us how to work out if a deal is a genuine bargain or could leave you out of pocket.,"Mon, 02 Dec 2024 01:55:46 GMT"
BBC News,'People want nothing to do with him': How Ireland turned away from Conor McGregor,https://www.bbc.com/news/articles/cn5w50pw65yo,The verdict in Nikita Hand's civil rape case saw already dwindling support for the UFC star fall further.,"Sun, 01 Dec 2024 13:17:50 GMT"
BBC News,How a Ugandan opposition leader disappeared in Kenya and ended up in military court,https://www.bbc.com/news/articles/cp8x3vr6zj2o,Uganda is facing condemnation following the arrest of the veteran politician while in Kenya.,"Mon, 02 Dec 2024 03:58:08 GMT"
BBC News,'I thought kidney failure meant I'd never be a mum',https://www.bbc.com/news/articles/cjw0jq7w5j1o,Tendai Chisambara gave birth despite being told she might never conceive due to kidney disease.,"Mon, 02 Dec 2024 05:51:59 GMT"
BBC News,BBC News app,https://www.bbc.co.uk/news/10628994,"Top stories, breaking news, live reporting, and follow news topics that match your interests","Tue, 20 Aug 2024 11:35:33 GMT"
BBC News,Losing your mind looking at memes? The dictionary has a word for that,https://www.bbc.com/news/articles/cx2n2r695nzo,The term captures concerns about the impact of consuming excessive amounts of low-quality online content.,"Sun, 01 Dec 2024 22:06:11 GMT"
BBC News,Backlash from councils over Rayner housing targets,https://www.bbc.com/news/articles/crk4y05vp61o,"The vast majority of councils in England believe housing targets are unrealistic, the BBC can reveal.","Mon, 02 Dec 2024 04:24:08 GMT"
BBC News,Dozens killed in crush at Guinea football match,https://www.bbc.com/news/articles/cdx9lg22k2po,"Prime Minister Oury Bah pays tribute to the victims and announces an inquiry into the ""tragic"" disaster.","Mon, 02 Dec 2024 10:25:10 GMT"
BBC News,Top UN court to rule on key climate questions,https://www.bbc.com/news/articles/cr4r03ngw1go,The significant case could clarify governments' legal responsibilities in relation to climate change.,"Mon, 02 Dec 2024 09:51:29 GMT"
BBC News,Gig staff eject disabled man they thought was drunk,https://www.bbc.com/news/articles/c238jxrjvvgo,"Matthew Parrott, from Oxford, took his wife to the O2 in London to celebrate her birthday.","Mon, 02 Dec 2024 06:17:36 GMT"
BBC News,Police dawn raids target new organised crime group,https://www.bbc.com/news/articles/c3vlvne6g1qo,BBC Scotland News follows Operation Silhouette as the serious and organised crime unit raids homes near Glasgow.,"Mon, 02 Dec 2024 06:16:07 GMT"
